nb_logmt_total_parc,nb_maisons_total,nb_appartements_total,rp_1p,rp_2p,rp_3p,rp_4p,rp_5pp,Arrondissement
13890.9701300112,56.7680200179964,13674.2471696697,2485.0610836033,3003.85195410863,2111.69388496683,989.647290090798,909.553275914912,1
17344.678694861,72.7742144501928,17123.4492942311,3468.82541045584,4285.63316133619,2485.28470799255,1326.04310632696,806.422514319592,2
26324.7934971024,93.1763348217239,25918.3772653422,5643.38843975664,6455.83613458723,3818.41331098091,2018.03898128404,1517.63781086659,3
22923.3071194916,44.9428162832724,22366.1727571309,4237.31849782827,4761.71918642173,3424.32208129917,2097.33453712488,1508.19887084486,4
39902.8736530228,266.507603686947,38961.7109887426,9052.4507273787,9237.79600470713,6354.92712385221,3636.69063127826,3334.46652202744,5
31682.0391801196,194.005067470209,30872.6898796403,5735.7328333928,5290.5254873991,4498.35347628855,3179.21425672303,3605.04520874335,6
39397.4342955825,217.628338214318,38297.4776009779,6054.44310979628,6331.55382229616,4403.85173968024,3708.82433998185,5463.51572341846,7
27401.5893023271,70.0302258376176,26713.7231505957,3795.1373041552,3818.12503153129,2989.85250753587,2513.1395145485,4310.0241292852,8
40905.4493966334,154.543208322236,39788.3505685343,7953.53827474288,8876.51365398372,6623.04762665844,4196.27573993616,4244.05178645498,9
59900.3048323782,284.754681904382,58228.1900580071,11195.8956877739,13925.5552379137,10107.9263180015,5886.87554117761,3323.46287124485,10
101304.514167332,366.662844299432,99210.8971166829,21474.4737578242,29946.9122297192,18387.0843351178,8565.63805707613,4486.3025170733,11
88078.0756197415,573.265886356191,85186.7211950729,16192.137072366,23618.6911708979,18828.0439254728,10404.9969089602,5077.09508547946,12
106902.954807857,1172.89949340186,102220.91487255,20862.157849839,28995.897156596,23182.340754624,12701.9884187723,6544.79620163568,13
85738.4465319644,1032.2270154813,82871.0429509516,14420.8457416262,21434.1183673476,18389.3630357263,9089.7105527835,5748.11828248669,14
152003.274938837,809.238771794104,148472.561163576,29355.5284992171,39626.6224937209,28156.7844322932,16439.8703456786,9485.13783342996,15
102809.554807405,1249.05986476937,98332.3647294323,17026.4337026472,18545.4024136967,15414.7229314942,12852.265687673,17544.8997376221,16
107438.749147478,602.884232686857,104254.353086329,19813.934784146,26329.4387571485,18779.7960982555,11386.1270044289,10335.3418157225,17
123803.749451968,772.951234887075,120305.441463882,23987.995366664,39400.5811616394,24986.7155901857,9888.99767418329,4184.37704147745,18
100648.674431774,1179.7946241177,96631.9497820996,19240.027005639,25823.2418752571,23683.8930480148,13668.9624380551,4894.79338159817,19
108351.70178589,1343.47255739587,104399.564585692,21641.9914275782,32762.2167555145,26222.0358363317,12184.6728898263,5236.31086130272,20
